time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
200,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
201,60,50,40,30,20,10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90
2200,60,50,40,30,20,10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90
2201,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3200,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
