time,voltage
3023.1,-53.47762902
3023.2,-53.34880882
3023.3,-53.21686469
3023.4,-53.08182689
3023.5,-52.94372682
3023.6,-52.80259708
3023.7,-52.65847138
3023.8,-52.5113846
3023.9,-52.36137273
3024,-52.20847288
3024.1,-52.05272324
3024.2,-51.89416313
3024.3,-51.7328329
3024.4,-51.56877397
3024.5,-51.40202883
3024.6,-51.23264096
3024.7,-51.06065489
3024.8,-50.88611613
3024.9,-50.70907116
3025,-50.52956746
3025.1,-50.34765342
3025.2,-50.1633784
3025.3,-49.97679266
3025.4,-49.78794733
3025.5,-49.59689446
3025.6,-49.40368694
3025.7,-49.20837851
3025.8,-49.01102372
3025.9,-48.81167793
3026,-48.61039729
3026.1,-48.40723871
3026.2,-48.20225984
3026.3,-47.99551905
3026.4,-47.78707542
3026.5,-47.57698872
3026.6,-47.36531936
3026.7,-47.1521284
3026.8,-46.93747751
3026.9,-46.72142898
3027,-46.50404565
3027.1,-46.2853909
3027.2,-46.06552867
3027.3,-45.84452338
3027.4,-45.62243996
3027.5,-45.39934376
3027.6,-45.1753006
3027.7,-44.9503767
3027.8,-44.72463867
3027.9,-44.4981535
3028,-44.27098849
3028.1,-44.04321129
3028.2,-43.81488982
3028.3,-43.5860923
3028.4,-43.35688716
3028.5,-43.12734307
3028.6,-42.89752891
3028.7,-42.66751369
3028.8,-42.43736662
3028.9,-42.20715699
3029,-41.97695421
3029.1,-41.74682776
3029.2,-41.51684718
3029.3,-41.287082
3029.4,-41.05760179
3029.5,-40.82847606
3029.6,-40.5997743
3029.7,-40.37156591
3029.8,-40.14392018
3029.9,-39.9169063
3030,-39.69059329
3030.1,-39.46505001
3030.2,-39.2403451
3030.3,-39.01654702
3030.4,-38.79372393
3030.5,-38.57194377
3030.6,-38.35127414
3030.7,-38.13178235
3030.8,-37.91353536
3030.9,-37.69659975
3031,-37.48104173
3031.1,-37.26692707
3031.2,-37.05432112
3031.3,-36.84328878
3031.4,-36.63389443
3031.5,-36.42620197
3031.6,-36.22027476
3031.7,-36.01617561
3031.8,-35.81396676
3031.9,-35.61370985
3032,-35.41546588
3032.1,-35.21929525
3032.2,-35.02525765
3032.3,-34.83341214
3032.4,-34.64381702
3032.5,-34.45652991
3032.6,-34.27160765
3032.7,-34.08910634
3032.8,-33.90908128
3032.9,-33.73158697
3033,-33.55667707
3033.1,-33.38440442
3033.2,-33.21482098
3033.3,-33.04797784
3033.4,-32.88392517
3033.5,-32.72271224
3033.6,-32.56438739
3033.7,-32.40899799
3033.8,-32.25659046
3033.9,-32.10721022
3034,-31.96090168
3034.1,-31.81770827
3034.2,-31.67767234
3034.3,-31.54083523
3034.4,-31.40723721
3034.5,-31.27691744
3034.6,-31.14991404
3034.7,-31.02626399
3034.8,-30.90600318
3034.9,-30.78916633
3035,-30.67578707
3035.1,-30.56589783
3035.2,-30.4595299
3035.3,-30.35671339
3035.4,-30.25747722
3035.5,-30.16184912
3035.6,-30.0698556
3035.7,-29.98152196
3035.8,-29.89687227
3035.9,-29.81592939
3036,-29.7387149
3036.1,-29.66524917
3036.2,-29.59555128
3036.3,-29.52963907
3036.4,-29.46752911
3036.5,-29.40923667
3036.6,-29.35477578
3036.7,-29.30415915
3036.8,-29.25739822
3036.9,-29.21450314
3037,-29.17548274
3037.1,-29.14034457
3037.2,-29.10909489
3037.3,-29.08173862
3037.4,-29.0582794
3037.5,-29.03871956
3037.6,-29.02306013
3037.7,-29.01130081
3037.8,-29.00344001
3037.9,-28.99947484
3038,-28.99940108
3038.1,-29.00321324
3038.2,-29.0109045
3038.3,-29.02246676
3038.4,-29.03789061
3038.5,-29.05716536
3038.6,-29.08027904
3038.7,-29.10721837
3038.8,-29.13796881
3038.9,-29.17251456
3039,-29.21083853
3039.1,-29.25292238
3039.2,-29.29874652
3039.3,-29.3482901
3039.4,-29.40153105
3039.5,-29.45844606
