time,voltage
0,-80
250,-80
250.1,-120
299.1,-120
300,-120
300.1,-80
570.1,-80
570.2,-72.0522
570.3,-64.1699
570.4,-56.2679
570.5,-48.0263
570.6,-38.0701
570.7,-23.4846
570.8,-5.55652
570.9,8.4391
571,18.049
571.1,25.3754
571.2,24.0783
571.3,22.8976
571.4,21.8279
571.5,20.8562
571.6,19.9737
571.7,19.1721
571.8,18.4429
571.9,17.7773
572,17.1671
572.1,16.6048
572.2,16.0836
572.3,15.5973
572.4,15.141
572.5,14.7101
572.6,14.3008
572.7,13.9099
572.8,13.5348
572.9,13.173
573,12.8228
573.1,12.4825
573.2,12.1506
573.3,11.8261
573.4,11.508
573.5,11.1955
573.6,10.8879
573.7,10.5847
573.8,10.2853
573.9,9.9893
574,9.6965
574.1,9.4064
574.2,9.119
574.3,8.8338
574.4,8.5508
574.5,8.2698
574.6,7.9906
574.7,7.7132
574.8,7.4374
574.9,7.1631
575,6.8903
575.1,6.6189
575.2,6.3489
575.3,6.0801
575.4,5.81263
575.5,5.54633
575.6,5.28119
575.7,5.0172
575.8,4.75432
575.9,4.49253
576,4.2318
576.1,3.97213
576.2,3.71349
576.3,3.45587
576.4,3.19926
576.5,2.94364
576.6,2.68902
576.7,2.43538
576.8,2.18271
576.9,1.93102
577,1.68029
577.1,1.43053
577.2,1.18173
577.3,0.9339
577.4,0.68702
577.5,0.44111
577.6,0.19616
577.7,-0.04782
577.8,-0.29083
577.9,-0.53287
578,-0.77394
578.1,-1.01403
578.2,-1.25314
578.3,-1.49127
578.4,-1.72841
578.5,-1.96455
578.6,-2.19969
578.7,-2.43383
578.8,-2.66696
578.9,-2.89907
579,-3.13016
579.1,-3.36023
579.2,-3.58927
579.3,-3.81727
579.4,-4.04424
579.5,-4.27015
579.6,-4.49501
579.7,-4.71881
579.8,-4.94156
579.9,-5.16323
580,-5.38383
580.1,-5.60336
580.2,-5.8218
580.3,-6.03915
580.4,-6.25541
580.5,-6.47058
580.6,-6.68465
580.7,-6.89761
580.8,-7.10947
580.9,-7.32021
581,-7.52984
581.1,-7.73836
581.2,-7.94575
581.3,-8.15202
581.4,-8.35716
581.5,-8.56117
581.6,-8.76406
581.7,-8.96581
581.8,-9.16643
581.9,-9.36591
582,-9.56426
582.1,-9.76147
582.2,-9.95754
582.3,-10.1525
582.4,-10.3463
582.5,-10.5389
582.6,-10.7304
582.7,-10.9208
582.8,-11.1101
582.9,-11.2982
583,-11.4851
583.1,-11.671
583.2,-11.8557
583.3,-12.0393
583.4,-12.2217
583.5,-12.403
583.6,-12.5832
583.7,-12.7623
583.8,-12.9403
583.9,-13.1171
584,-13.2929
584.1,-13.4675
584.2,-13.641
584.3,-13.8134
584.4,-13.9848
584.5,-14.155
584.6,-14.3242
584.7,-14.4923
584.8,-14.6593
584.9,-14.8252
585,-14.9901
585.1,-15.1539
585.2,-15.3166
585.3,-15.4784
585.4,-15.639
585.5,-15.7986
585.6,-15.9572
585.7,-16.1148
585.8,-16.2714
585.9,-16.4269
586,-16.5814
586.1,-16.735
586.2,-16.8875
586.3,-17.0391
586.4,-17.1897
586.5,-17.3393
586.6,-17.488
586.7,-17.6357
586.8,-17.7824
586.9,-17.9282
587,-18.0731
587.1,-18.217
587.2,-18.3601
587.3,-18.5022
587.4,-18.6434
587.5,-18.7837
587.6,-18.9232
587.7,-19.0617
587.8,-19.1994
587.9,-19.3362
588,-19.4722
588.1,-19.6073
588.2,-19.7416
588.3,-19.875
588.4,-20.0076
588.5,-20.1394
588.6,-20.2704
588.7,-20.4006
588.8,-20.53
588.9,-20.6586
589,-20.7864
589.1,-20.9134
589.2,-21.0397
589.3,-21.1652
589.4,-21.29
589.5,-21.4141
589.6,-21.5374
589.7,-21.6599
589.8,-21.7818
589.9,-21.9029
590,-22.0234
590.1,-22.1431
590.2,-22.2622
590.3,-22.3805
590.4,-22.4982
590.5,-22.6152
590.6,-22.7316
590.7,-22.8473
590.8,-22.9624
590.9,-23.0768
591,-23.1906
591.1,-23.3038
591.2,-23.4163
591.3,-23.5283
591.4,-23.6396
591.5,-23.7504
591.6,-23.8605
591.7,-23.9701
591.8,-24.0791
591.9,-24.1875
592,-24.2953
592.1,-24.4026
592.2,-24.5094
592.3,-24.6156
592.4,-24.7212
592.5,-24.8264
592.6,-24.931
592.7,-25.0351
592.8,-25.1387
592.9,-25.2417
593,-25.3443
593.1,-25.4464
593.2,-25.548
593.3,-25.6491
593.4,-25.7498
593.5,-25.85
593.6,-25.9497
593.7,-26.0489
593.8,-26.1478
593.9,-26.2461
594,-26.3441
594.1,-26.4416
594.2,-26.5387
594.3,-26.6353
594.4,-26.7316
594.5,-26.8274
