voltage,current,time
40,0.18182,200
38.84058,0.18182,209.6618333
36.23188,0.18636,231.401
33.18841,0.2,256.76325
30.14493,0.21364,282.1255833
26.95652,0.22955,308.6956667
23.76812,0.25,335.2656667
21.30435,0.26818,355.7970833
18.98551,0.28864,375.12075
16.52174,0.30909,395.6521667
13.48191,0.33949,420.9840833
10.38988,0.37299,446.751
7.2792,0.40593,472.6733333
4.74076,0.43575,493.827
1.70953,0.47346,519.08725
-1.3217,0.51295,544.3475
-4.35293,0.55419,569.60775
-7.38416,0.59682,594.868
-10.41539,0.63944,620.12825
-13.42366,0.68192,645.1971667
-16.47785,0.72626,670.64875
-19.50908,0.76948,695.909
-21.98918,0.80251,716.5765
-24.92754,0.83864,741.0628333
-27.24638,0.87045,760.3865
-29.56522,0.89545,779.7101667
-32.02899,0.92045,800.2415833
-34.34783,0.94318,819.56525
-36.95652,0.96364,841.3043333
-39.42029,0.97955,861.83575
-42.10553,0.98841,884.21275
-44.99184,0.99312,908.2653333
-48.16799,0.98437,934.73325
-51.19922,0.9659,959.9935
-54.23046,0.93251,985.2538333
-57.1239,0.8881,1009.365833
-59.46622,0.84109,1028.885167
-61.39518,0.79479,1044.959833
-63.18636,0.74463,1059.886333
-64.70198,0.69731,1072.5165
-66.07981,0.6515,1083.998417
-67.45764,0.60008,1095.480333
-68.69769,0.55503,1105.814083
-69.93774,0.50155,1116.147833
-71.17779,0.45078,1126.481583
-72.41784,0.39654,1136.815333
-73.65789,0.34004,1147.149083
-74.76016,0.28818,1156.334667
-75.86242,0.23471,1165.520167
-76.8269,0.18681,1173.5575
-78.13993,0.12975,1184.499417
-79.06001,0.07673,1192.16675
-80,0.03864,1200
