voltage,current,time
40,0.24318,200
39.85507,0.24318,201.20775
38.63544,0.24659,211.3713333
35.6042,0.26211,236.6316667
32.57297,0.2843,261.8919167
29.54174,0.31043,287.1521667
26.51051,0.33989,312.4124167
22.92815,0.37957,342.2654167
18.93244,0.42809,375.563
16.03899,0.47012,399.6750833
13.00776,0.51157,424.9353333
9.97653,0.56146,450.1955833
6.9954,0.60785,475.0383333
4.97474,0.64468,491.8771667
2.67402,0.68219,511.0498333
-1.3217,0.74955,544.3475
-4.22574,0.79619,568.5478333
-7.02248,0.84273,591.854
-10.56236,0.8894,621.353
-13.33333,0.925,644.4444167
-16.23188,0.95455,668.599
-19.13043,0.97727,692.7535833
-22.6087,0.98636,721.7391667
-25.07246,0.98182,742.2705
-29.27536,0.95909,777.2946667
-31.30435,0.93864,794.2029167
-33.47112,0.90178,812.2593333
-35.90529,0.85915,832.5440833
-38.10982,0.81188,850.9151667
-40.17657,0.76238,868.1380833
-42.10553,0.71361,884.21275
-44.0345,0.66085,900.2875
-45.6879,0.61218,914.0658333
-47.16983,0.57199,926.41525
-48.58134,0.52856,938.1778333
-50.23474,0.48175,951.9561667
-51.88814,0.43241,965.7345
-53.67932,0.38395,980.661
-55.4705,0.33446,995.5875
-57.26169,0.28888,1010.514083
-59.19065,0.2435,1026.58875
-61.2574,0.19608,1043.811667
-63.59971,0.1496,1063.330917
-66.2176,0.10355,1085.146667
-69.11104,0.059,1109.258667
-72.14227,0.02306,1134.518917
-75.1735,-0.00629,1159.779167
-77.82609,-0.02727,1181.884083
-80,-0.04091,1200
