voltage,current,time
40,0.2979,200
39.01306,0.2979,208.2245
36.70647,0.30826,227.4460833
33.96509,0.32721,250.2909167
30.64401,0.356,277.9665833
27.61278,0.38861,303.2268333
24.58155,0.41708,328.4870833
21.55032,0.45414,353.7473333
18.51909,0.49977,379.0075833
15.60267,0.5399,403.3110833
12.41988,0.59057,429.8343333
10.06264,0.6326,449.478
7.85073,0.67451,467.9105833
5.07254,0.71673,491.0621667
2.43535,0.76028,513.03875
0.2594,0.79917,531.1716667
-2.1484,0.83622,551.2366667
-4.00898,0.86831,566.7415
-6.76598,0.90471,589.7165
-9.58869,0.93939,613.2390833
-11.70137,0.95779,630.84475
-13.62319,0.97045,646.8599167
-16.52174,0.97955,671.0145
-19.27536,0.97955,693.9613333
-21.73913,0.96364,714.49275
-24.63768,0.93864,738.6473333
-27.82609,0.89545,765.2174167
-30.11839,0.84942,784.3199167
-32.04736,0.8048,800.3946667
-34.12023,0.75591,817.6685833
-35.90529,0.7079,832.5440833
-37.55869,0.66072,846.3224167
-39.21208,0.61355,860.1006667
-40.86548,0.55989,873.879
-42.3811,0.51495,886.5091667
-44.0345,0.47307,900.2875
-46.00837,0.4117,916.7364167
-47.75464,0.35715,931.2886667
-49.27026,0.3153,943.9188333
-51.06144,0.26388,958.8453333
-53.12819,0.21233,976.06825
-55.19494,0.16638,993.2911667
-57.39947,0.11938,1011.66225
-60.01735,0.07099,1033.477917
-63.15779,0.02113,1059.64825
-66.08696,-0.00909,1084.058
-69.27536,-0.04318,1110.628
-71.86671,-0.06337,1132.222583
-74.89794,-0.07987,1157.482833
-77.34946,-0.08997,1177.912167
-79.72035,-0.09804,1197.669583
-80,-0.09804,1200
