voltage,current,time
40,0.1824,200
39.22943,0.1824,206.4214167
35.32864,0.19356,238.928
32.29741,0.21234,264.18825
29.08787,0.23035,290.9344167
26.10776,0.25275,315.7686667
23.29557,0.27422,339.2035833
19.77853,0.30759,368.51225
15.62564,0.3498,403.1196667
12.73219,0.38488,427.23175
9.39095,0.42998,455.0754167
6.66973,0.4715,477.75225
3.77628,0.51646,501.8643333
1.02062,0.56248,524.8281667
-1.87283,0.61135,548.94025
-4.76628,0.66274,573.0523333
-7.52194,0.71049,596.0161667
-10.13982,0.75555,617.8318333
-12.89549,0.8011,640.79575
-14.94255,0.83605,657.8545833
-17.58012,0.87221,679.8343333
-20.07451,0.90687,700.6209167
-22.75362,0.93409,722.9468333
-26.66667,0.97273,755.5555833
-29.27536,0.98864,777.2946667
-32.17391,0.99545,801.44925
-35.65217,0.98864,830.43475
-37.97101,0.975,849.7584167
-40.28986,0.95455,869.0821667
-42.3811,0.93055,886.5091667
-45.23697,0.88778,910.3080833
-47.89243,0.84126,932.4369167
-50.09696,0.79757,950.808
-52.16371,0.74976,968.0309167
-54.23046,0.69972,985.2538333
-56.02164,0.65352,1000.180333
-57.67504,0.60923,1013.958667
-59.32843,0.56421,1027.736917
-61.11962,0.5139,1042.6635
-62.9108,0.46338,1057.59
-64.5642,0.41693,1071.368333
-66.2176,0.37047,1085.146667
-67.87099,0.32438,1098.924917
-69.52439,0.27972,1112.70325
-71.31557,0.23332,1127.62975
-73.24454,0.18393,1143.7045
-75.23525,0.13833,1160.29375
-76.96571,0.09915,1174.71425
-79.901,0.04205,1199.175
-80,0.04205,1200
